Timestamp,Where did you reserve your Steam Deck?,Which model did you reserve?,What is your estimate?,What is your timestamp?,How experienced are you with Linux?,Would you like to Dual Boot Windows on your Steam Deck?
19/01/2022 21:47:34,EU,512 GB,Q1 (Used to be December),1626454813,"I run Linux on Servers, but not on my PC.",Yes
19/01/2022 21:48:06,EU,512 GB,Q1 (Used to be December),1626454854,"I run Linux on Servers, but not on my PC.",Yes
19/01/2022 21:49:51,EU,512 GB,Q2 (Still Q2),1626629912,I am still using Linux frequently.,No
19/01/2022 21:51:34,EU,512 GB,Q1 (Used to be December),1626455605,I am still using Linux frequently.,No
19/01/2022 21:54:01,US,512 GB,Q1 (Used to be December),1626454953,I am still using Linux frequently.,No
19/01/2022 21:54:25,EU,512 GB,Q2 (Used to be Q1),1626457721,I have seen it before.,No
19/01/2022 21:54:54,US,512 GB,Q1 (Used to be December),1626454851,I tried it once or twice before.,Yes
19/01/2022 21:55:39,EU,64 GB,Q1 (Used to be December),GMT+2,I tried it once or twice before.,Yes
19/01/2022 21:55:45,US,512 GB,After Q2 (No change),1639965836,I tried it once or twice before.,Yes
19/01/2022 21:56:22,US,512 GB,Q1 (Used to be December),U guys r bullies,I have seen it before.,No
19/01/2022 21:57:46,UK,256 GB,Q2 (Used to be Q1),1626455750,I have no Linux experience,No
19/01/2022 21:58:16,US,64 GB,Q1 (Used to be December),1626455786,I tried it once or twice before.,No
19/01/2022 22:01:11,EU,256 GB,Q2 (Used to be Q1),162645940,I tried it once or twice before.,Yes
19/01/2022 22:02:46,US,512 GB,Q2 (Still Q2),21,I used Linux frequently in the past.,Yes
19/01/2022 22:04:24,EU,512 GB,Q2 (Used to be Q1),1626457664,I tried it once or twice before.,Yes
19/01/2022 22:04:24,UK,512 GB,Q2 (Used to be Q1),1626456137,I tried it once or twice before.,Yes
19/01/2022 22:04:24,EU,512 GB,Q1 (Used to be December),1626454814,"I run Linux on Servers, but not on my PC.",Yes
19/01/2022 22:05:09,UK,256 GB,Q2 (Used to be Q1),1626459404,I have no Linux experience,No
19/01/2022 22:05:19,UK,512 GB,Q1 (Used to be December),1626454995,I tried it once or twice before.,No
19/01/2022 22:06:26,US,256 GB,Q1 (Still Q1),12:10,I tried it once or twice before.,No
19/01/2022 22:07:00,US,256 GB,Q1 (Still Q1),1626455560,I tried it once or twice before.,Yes
19/01/2022 22:07:16,EU,512 GB,Q2 (Used to be Q1),1626620261,I tried it once or twice before.,Yes
19/01/2022 22:07:18,UK,256 GB,After Q2 (No change),1641072140,I tried it once or twice before.,Yes
19/01/2022 22:07:40,EU,256 GB,Q2 (Still Q2),1626470802,I used Linux frequently in the past.,No
19/01/2022 22:08:19,UK,512 GB,After Q2 (Used to be Q2),1626460582,I have no Linux experience,Yes
19/01/2022 22:08:50,US,512 GB,Q2 (Still Q2),1626457670,I tried it once or twice before.,Yes
19/01/2022 22:09:01,US,512 GB,Q2 (Used to be Q1),1626455895,I have no Linux experience,Yes
19/01/2022 22:09:08,EU,512 GB,Q1 (Used to be December),1626454813,I am still using Linux frequently.,No
19/01/2022 22:09:46,US,64 GB,After Q2 (Used to be Q2),1626824276,I tried it once or twice before.,No
19/01/2022 22:10:14,US,256 GB,After Q2 (No change),after summer 2022,I have no Linux experience,Yes
19/01/2022 22:10:29,US,512 GB,Q1 (Used to be December),1626455223,"I run Linux on Servers, but not on my PC.",Yes
19/01/2022 22:10:32,EU,512 GB,After Q2 (Used to be Q2),1632588177,I am still using Linux frequently.,No
19/01/2022 22:10:53,EU,512 GB,After Q2 (No change),1641758958,I have no Linux experience,Yes
19/01/2022 22:11:23,EU,256 GB,Q1 (Still Q1),1626456699,I am still using Linux frequently.,No
19/01/2022 22:11:33,EU,512 GB,Q2 (Used to be Q1),22 de julho de 2021,I have no Linux experience,No
19/01/2022 22:11:42,US,512 GB,Q2 (Used to be Q1),1626455574,I tried it once or twice before.,Yes
19/01/2022 22:12:12,EU,512 GB,After Q2 (No change),1641079304,I am still using Linux frequently.,No
19/01/2022 22:12:23,EU,512 GB,Q1 (Used to be December),1626454983,I tried it once or twice before.,No
19/01/2022 22:12:25,EU,512 GB,Q1 (Used to be December),1626455384,"I run Linux on Servers, but not on my PC.",No
19/01/2022 22:12:34,EU,256 GB,Q2 (Used to be Q1),1626981937,I have seen it before.,No
19/01/2022 22:13:12,US,64 GB,After Q2 (Used to be Q2),1626645919,I am still using Linux frequently.,No
19/01/2022 22:13:22,US,256 GB,Q1 (Used to be December),1626455244,I tried it once or twice before.,Yes
19/01/2022 22:13:40,US,256 GB,After Q2 (No change),1637035874,I tried it once or twice before.,Yes
19/01/2022 22:14:05,EU,512 GB,Q2 (Used to be Q1),1626457652,I tried it once or twice before.,No
19/01/2022 22:14:12,EU,64 GB,After Q2 (No change),1639867213,I used Linux frequently in the past.,Yes
19/01/2022 22:15:04,EU,512 GB,Q2 (Used to be Q1),1626459008,I am still using Linux frequently.,No
19/01/2022 22:15:17,US,512 GB,Q1 (Used to be December),1626454830,"I run Linux on Servers, but not on my PC.",No
19/01/2022 22:15:24,US,512 GB,Q1 (Used to be December),"Purchased: Jul 16, 2021 @ 10:00am",I used Linux frequently in the past.,No
19/01/2022 22:15:36,US,256 GB,After Q2 (No change),21,I have no Linux experience,Yes
19/01/2022 22:16:41,US,256 GB,After Q2 (Used to be Q2),p,I have seen it before.,No
19/01/2022 22:16:47,EU,512 GB,Q2 (Used to be Q1),1626458411,I have no Linux experience,Yes
19/01/2022 22:17:29,EU,256 GB,Q2 (Used to be Q1),1626459432,I am still using Linux frequently.,Yes
19/01/2022 22:17:59,EU,512 GB,Q2 (Used to be Q1),1626457875,I tried it once or twice before.,No
19/01/2022 22:18:43,US,512 GB,Q1 (Used to be December),1626455071,"I run Linux on Servers, but not on my PC.",No
19/01/2022 22:19:36,US,256 GB,Q1 (Still Q1),1626455273,I tried it once or twice before.,No
19/01/2022 22:21:48,US,64 GB,After Q2 (No change),1629155359,I tried it once or twice before.,No
19/01/2022 22:22:20,EU,256 GB,After Q2 (No change),1640647072,I tried it once or twice before.,No
19/01/2022 22:22:28,EU,256 GB,Q2 (Still Q2),"Mo., 19. Juli 2021 ","I run Linux on Servers, but not on my PC.",No
19/01/2022 22:23:28,US,512 GB,Q2 (Used to be Q1),1626458734,I have no Linux experience,No
19/01/2022 22:23:53,EU,512 GB,After Q2 (No change),1633101598,I am still using Linux frequently.,No
19/01/2022 22:23:53,UK,512 GB,After Q2 (No change),1631000847,I am still using Linux frequently.,No
19/01/2022 22:24:01,US,512 GB,After Q2 (Used to be Q2),1626482100,I tried it once or twice before.,No
19/01/2022 22:24:30,EU,512 GB,Q2 (Used to be Q1),1626511765,I have no Linux experience,No
19/01/2022 22:25:12,EU,64 GB,Q2 (Used to be Q1),1626643334,I have seen it before.,No
19/01/2022 22:25:34,US,512 GB,Q2 (Used to be Q1),1626455638,I have no Linux experience,Yes
19/01/2022 22:25:35,US,256 GB,After Q2 (No change),ok i lied... i canceled my reservation... it was all of that above^,I am still using Linux frequently.,No
19/01/2022 22:25:45,EU,512 GB,Q2 (Still Q2),1626459411,"I run Linux on Servers, but not on my PC.",Yes
19/01/2022 22:25:56,US,512 GB,Q2 (Used to be Q1),1626455908,I tried it once or twice before.,Yes
